DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.3897/phytokeys.95.21126,29674926,,A taxonomic study of Quercus langbianensis complex based on morphology and DNA barcodes of classic and next generation sequences,"The taxonomy of Quercus langbianensis and its relatives in Vietnam and Cambodia have been revised based on evidence obtained from field observations, morphological comparison of herbarium specimens and molecular analyses using both classic and next generation DNA markers. Based on Bayesian inference using rbcL, matK and ITS regions and Neighbour-joining tree using genome-wide sequences amplified with multiplexed inter-simple sequence repeat (ISSR) primers (MIG-seq), the authors recognised ten species in the complex in Vietnam and Cambodia, three of which are newly described in this paper: Q. baolamensissp. nov., Q. bidoupensissp. nov. and Q. honbaensissp. nov. These new species are all phenotypically similar to Q. langbianensiss. str. in having lanceolate to oblanceolate leaf shape, upper 4-5/6-serrated leaf margin, acute or acuminate leaf apex and bracts of cupule arranged in 5-9 rings but distinguished both morphologically and phylogenetically. In molecular phylogenetic reconstructions, Q. bidoupensis is not close to any other species. In the Bayesian tree, Q. honbaensis is sister to both Q. blaoensis and Q. camusiae that are found in the same locality but morphologically distinct and those three species are sister to Q. langbianensiss. str., while Quercus baolamensis is not sister to Q. langbianensiss. str. in both the Bayesian tree and MIG-seq tree. In addition, Q. cambodiensis and Q. baniensis previously reduced to Q. langbianensiss. lat. have been recognised as distinct species. Six species were in need of lectotypification and that is undertaken herein.","Hoàng Thị Bình,Hoang Thi Binh,Nguyễn Văn Ngọc,Nguyen Van Ngoc,Shuichiro Tagane,Shuichiro Tagane,Hironori Toyama,Hironori Toyama,Keiko Mase,Keiko Mase,Chika Mitsuyuki,Chika Mitsuyuki,Joeri S. Strijk,Joeri S. Strijk,Yoshihisa Suyama,Yoshihisa Suyama,Tetsukazu Yahara,Tetsukazu Yahara",PhytoKeys,2018
10.3897/phytokeys.92.21831,,,A new species and two new records of Quercus (Fagaceae) from northern Vietnam.,"A new species, Quercus xuanlienensis Binh, Ngoc & Bon, is described from Xuan Lien Nature Reserve, Vietnam. The new species is morphologically similar to Q. edithiae Skan, in having 8–11 pairs of secondary veins, bowl-shaped cupules and ellipsoid to cylindrical-ellipsoid and basally convex nuts. It differs in having serrulate leaf margins only at apical 1/5–1/7, almost entire margins of bracts on cupule and much longer nuts. The species is also similar to Q. fleuryi Hickel & A. Camus in having leaves glabrous on both surfaces with only an apically serrulate margin but differs in having shorter petioles, cupules enclosing 1/5 of the nut and much longer nuts. In addition, Q. disciformis Chun & Tsiang. and Q. bella Chun & Tsiang., previously known from China, are newly recorded from Ba Vi National Park, Vietnam.","Hoàng Thị Bình,Hoang Thi Binh,Nguyễn Văn Ngọc,Nguyen Van Ngoc,Hong Truong Luu,Trinh Ngoc Bon,Trinh Ngoc Bon,Shuichiro Tagane,Shuichiro Tagane,Yoshihisa Suyama,Yoshihisa Suyama,Tetsukazu Yahara,Tetsukazu Yahara",PhytoKeys,2018
10.3732/ajb.1500182,26672009,,Landscape genetics and population structure in Valley Oak (Quercus lobata Née),"Although long-distance pollen movement is common in wind-pollinated trees, barriers to gene flow may occur in species that have discontinuous ranges or are confined to certain habitat types. We investigated the genetic structure of Quercus lobata Nee populations throughout much of their range in California. We assessed the connectivity of populations and determined if barriers to gene flow occurred, and if so, if they corresponded to landscape features.We collected leaf samples from 270 trees from 12 stands of Quercus lobata and genotyped these trees using eight polymorphic microsatellite loci. Genetic structure and clustering was evaluated using genetic distance methods, Bayesian clustering approaches, and network analysis of spatial genetic structure.The southernmost population of Quercus lobata sampled from the Santa Monica area comprised a separate genetic cluster from the rest of the species, suggesting that Transverse Ranges such as the San Gabriel Mountains limit gene flow. Population differentiation among the other sites was small but significant. Network analysis reflected higher connectivity among populations along the Central Coast range, with few connections spanning the dry, low Central Valley.While long distance pollen movement has been shown to be common in oaks, on larger spatial scales, topographic features such as mountain ranges and the large, flat Central Valley of California limit gene flow. Such landscape features explain gene flow patterns much better than geographic distance alone.","Mary V. Ashley,Mary V. Ashley,Saji Abraham,Saji T. Abraham,Saji T. Abraham,Saji Abraham,Janet Rizner Backs,Janet Rizner Backs,Walter D. Koenig,Walter D. Koenig",American Journal of Botany,2015
10.1600/036364408783887320,,,Taxonomy of Hill's Oak (Quercus ellipsoidalis: Fagaceae): Evidence from AFLP Data,"Quercus ellipsoidalis (Hill's oak), an endemic of east-central North America, is morphologically similar to Q. coccinea (scarlet oak) and is subsumed into that species in several floristic treatments. This study uses data from more than 250 amplified fragment length polymorphism (AFLP) markers to investigate whether Q. coccinea and Q. ellipsoidalis are genetically distinct from one another. Whereas Q. coccinea and Q. ellipsoidalis separate from one another in all analyses, Q. velutina (black oak) populations collected from the geographic range of both Q. coccinea and Q. ellipsoidalis do not separate out by geographic region. This, combined with the strong differentiation between Q. coccinea and Q. velutina but weak differentiation between Q. ellipsoidalis and Q. velutina, supports the view that Q. coccinea and Q. ellipsoidalis are not simply regional variants of a single taxon. Moreover, while there is no evidence from the molecular data we collected of hybridization between Q. coccinea and Q. ellipsoidalis, the data suggest that there may be gene flow between Q. ellipsoidalis and Q. velutina. A clearer understanding of the relationships among these taxa is essential to understanding the taxonomy of Quercus section Lobate in eastern North America.","Andrew L. Hipp,Andrew L. Hipp,Jaime A. Weber,Jaime A. Weber",Systematic Botany,2008
10.1111/j.1365-294x.2010.04726.x,20723054,,Gene movement and genetic association with regional climate gradients in California valley oak (Quercus lobata Née) in the face of climate change.,"Rapid climate change jeopardizes tree populations by shifting current climate zones. To avoid extinction, tree populations must tolerate, adapt, or migrate. Here we investigate geographic patterns of genetic variation in valley oak, Quercus lobata Nee, to assess how underlying geneticstructure of populations might influence thisspecies' ability to survive climatechange.First,tounderstandhowgeneticlineagesshapespatialgeneticpatterns,we examine historical patterns of colonization. Second, we examine the correlation between multivariate nuclear genetic variation and climatic variation. Third, to illustrate how geographic genetic variation could interact with regional patterns of 21st Century climate change, we produce region-specific bioclimatic distributions of valley oak using Maximum Entropy (MAXENT) models based on downscaled historical (1971-2000) and future (2070-2100) climate grids. Future climatologies are based on a moderate-high (A2) carbon emission scenario and two different global climate models. Chloroplast markers indicate historical range-wide connectivity via colonization, especially in the north. Multivariate nuclear genotypes show a strong association with climate variation that provides opportunity for local adaptation to the conditions within their climatic envelope. Comparison of regional current and projected patterns of climate suitability indicates that valley oaks grow in distinctly different climate conditions in different parts of their range. Our models predict widely different regional outcomes from local displacement of a few kilometres to hundreds of kilometres. We conclude that the relative importance of migration, adaptation, and tolerance are likely to vary widely for populations among regions, and that late 21st Century conditions could lead to regional extinctions.","Victoria L. Sork,Victoria L. Sork,Frank W. Davis,Frank W. Davis,Robert D. Westfall,Robert D. Westfall,Alan L. Flint,Alan L. Flint,Makihiko Ikegami,Makihiko Ikegami,Hongfang Wang,Hong-Fang Wang,Hong-Fang Wang,Delphine Grivet,Delphine Grivet",Molecular Ecology,2010
10.1111/mec.14869,30226013,,"RADseq data reveal ancient, but not pervasive, introgression between Californian tree and scrub oak species (Quercus sect. Quercus: Fagaceae).","A long-term debate in evolutionary biology is the extent to which reproductive isolation is a necessary element of speciation. Hybridizing plants in general are cited as evidence against this notion, and oaks specifically have been used as the classic example of species maintenance without reproductive isolation. Here, we use thousands of SNPs generated by RAD sequencing to describe the phylogeny of a set of sympatric white oak species in California and then test whether these species exhibit pervasive interspecific gene exchange. Using RAD sequencing, we first constructed a phylogeny of ten oak species found in California. Our phylogeny revealed that seven scrub oak taxa occur within one clade that diverged from a common ancestor with Q. lobata, that they comprise two subclades, and they are not monophyletic but include the widespread tree oak Q. douglasii. Next, we searched for genomic patterns of allele sharing consistent with gene flow between long-divergent tree oaks with scrub oaks. Specifically, we utilized the D-statistic as well as model-based inference to compare the signature of shared alleles between two focal tree species (Q. lobata and Q. engelmannii) with multiple scrub species within the two subclades. We found that introgression is not equally pervasive between sympatric tree and scrub oak species. Instead, gene flow commonly occurs from scrub oaks to recently sympatric Q. engelmannii, but less so from scrub oaks to long-sympatric Q. lobata. This case study illustrates the influence of ancient introgression and impact of reproductive isolating mechanisms in preventing indiscriminate interspecific gene exchange.","Bernard Kim,Bernard Y. Kim,Xin Wei,Xinzeng Wei,Sorel Fitz‐Gibbon,Sorel Fitz-Gibbon,Kirk E. Lohmueller,Kirk E. Lohmueller,Joaquín Ortego,Joaquín Ortego,Paul F. Gugger,Paul F. Gugger,Victoria L. Sork,Victoria L. Sork",Molecular Ecology,2018
10.1016/j.jgg.2024.03.012,,,Chromosome-scale genomes of <i>Quercus sichourensis</i> and <i>Quercus rex</i> provide insights into the evolution and adaptation of <i>Fagaceae</i>,"The Fagaceae, a plant family with a wide distribution and diverse adaptability, has garnered significant interest as a subject of study in plant speciation and adaptation. Meanwhile, certain Fagaceae species are regarded as highly valuable wood resources due to the exceptional quality of their wood. In this study, we present two high-quality, chromosome-scale genome sequences for Quercus sichourensis (848.75 Mb) and Quercus rex (883.46 Mb). Comparative genomics analysis reveals that the difference in the number of plant disease resistance genes and the nonsynonymous and synonymous substitution ratio (Ka/Ks) of protein-coding genes among Fagaceae species are related to different environmental adaptations. Interestingly, most genes related to starch synthesis in the investigated Quercoideae species are located on a single chromosome, as compared to the outgroup species, Fagus sylvatica. Furthermore, resequencing and population analysis of Q. sichourensis and Q. rex reveal that Q. sichourensis has lower genetic diversity and higher deleterious mutations compared to Q. rex. The high-quality, chromosome-level genomes and the population genomic analysis of the critically endangered Q. sichourensis and Q. rex will provide an invaluable resource as well as insights for future study in these two species, even the genus Quercus, to facilitate their conservation.","Xue Liu,Weixiong Zhang,Yongting Zhang,Jing Yang,Peng Zeng,Zunzhe Tian,Weibang Sun,Jing Cai",Journal of Genetics and Genomics,2024
10.3390/f13040579,,,"Genetic Diversity and Structure of Quercus hondae, a Rare Evergreen Oak Species in Southwestern Japan","Conservation of rare species is essential for maintaining ecosystem function. Quercus hondae is a rare evergreen oak species (Cyclobalanopsis) endemic to Japan. This species is found in several locations in Southwestern Japan; small populations remain in the tutelary forests of the Japanese shrine. To evaluate the genetic diversity and phylogeographic structure of this rare species, 11 microsatellite loci and chloroplast DNA sequences are analyzed for 12 populations of Q. hondae and 8 populations of the more widespread congeneric species, Q. glauca. It is found that heterozygosity at both the population and species level is substantially lower in Q. hondae than in Q. glauca. Genetic differentiation among populations of Q. hondae was high, in contrast to Q. glauca, in which populations exhibit largely insignificant differentiation. STRUCTURE analysis shows that at K = 7, the clusters largely corresponded to major predefined populations. This study suggests that there is little gene flow among extant Q. hondae populations and that Q. hondae is genetically differentiated due to the greater effect of genetic drift in small populations. This pattern is in sharp contrast to that of a more common congeneric species, which will be an important consideration in the conservation of Q. hondae.","Katsumasa Kamiya,Koichi Kamiya,Misato Ogasahara,Misato Ogasahara,Kenzö Tanaka,Tanaka Kenzo,Koji Muramoto,Koji Muramoto,Takuya Araki,Takuya Araki,Tomoaki Ichie,Tomoaki Ichie",Forests,2022
10.3390/genes13071184,,,"Complete Chloroplast Genome of an Endangered Species Quercus litseoides, and Its Comparative, Evolutionary, and Phylogenetic Study with Other Quercus Section Cyclobalanopsis Species","Quercus litseoides, an endangered montane cloud forest species, is endemic to southern China. To understand the genomic features, phylogenetic relationships, and molecular evolution of Q. litseoides, the complete chloroplast (cp) genome was analyzed and compared in Quercus section Cyclobalanopsis. The cp genome of Q. litseoides was 160,782 bp in length, with an overall guanine and cytosine (GC) content of 36.9%. It contained 131 genes, including 86 protein-coding genes, eight ribosomal RNA genes, and 37 transfer RNA genes. A total of 165 simple sequence repeats (SSRs) and 48 long sequence repeats with A/T bias were identified in the Q. litseoides cp genome, which were mainly distributed in the large single copy region (LSC) and intergenic spacer regions. The Q. litseoides cp genome was similar in size, gene composition, and linearity of the structural region to those of Quercus species. The non-coding regions were more divergent than the coding regions, and the LSC region and small single copy region (SSC) were more divergent than the inverted repeat regions (IRs). Among the 13 divergent regions, 11 were in the LSC region, and only two were in the SSC region. Moreover, the coding sequence (CDS) of the six protein-coding genes (rps12, matK, atpF, rpoC2, rpoC1, and ndhK) were subjected to positive selection pressure when pairwise comparison of 16 species of Quercus section Cyclobalanopsis. A close relationship between Q. litseoides and Quercus edithiae was found in the phylogenetic analysis of cp genomes. Our study provided highly effective molecular markers for subsequent phylogenetic analysis, species identification, and biogeographic analysis of Quercus.","Yu Li,Yu Li,Tianrui Wang,Tian-Rui Wang,Gregor Kozlowski,Gregor Kozlowski,Meihua Liu,Meihua Li,Meihua Liu,Long Yi,Li-Ta Yi,Yi‐Gang Song,Yi-Gang Song",Genes,2022
10.3732/ajb.1500162,26744482,,"Landscape genomic analysis of candidate genes for climate adaptation in a California endemic oak, Quercus lobata","The ability of California tree populations to survive anthropogenic climate change will be shaped by the geographic structure of adaptive genetic variation. Our goal is to test whether climate-associated candidate genes show evidence of spatially divergent selection in natural populations of valley oak, Quercus lobata, as preliminary indication of local adaptation.Using DNA from 45 individuals from 13 localities across the species' range, we sequenced portions of 40 candidate genes related to budburst/flowering, growth, osmotic stress, and temperature stress. Using 195 single nucleotide polymorphisms (SNPs), we estimated genetic differentiation across populations and correlated allele frequencies with climate gradients using single-locus and multivariate models.The top 5% of FST estimates ranged from 0.25 to 0.68, yielding loci potentially under spatially divergent selection. Environmental analyses of SNP frequencies with climate gradients revealed three significantly correlated SNPs within budburst/flowering genes and two SNPs within temperature stress genes with mean annual precipitation, after controlling for multiple testing. A redundancy model showed a significant association between SNPs and climate variables and revealed a similar set of SNPs with high loadings on the first axis. In the RDA, climate accounted for 67% of the explained variation, when holding climate constant, in contrast to a putatively neutral SSR data set where climate accounted for only 33%.Population differentiation and geographic gradients of allele frequencies in climate-associated functional genes in Q. lobata provide initial evidence of adaptive genetic variation and background for predicting population response to climate change.","Victoria L. Sork,Victoria L. Sork,Kevin Squire,Kevin Squire,Paul F. Gugger,Paul F. Gugger,Stephanie Steele,Stephanie E. Steele,Éric Levy,Eric D. Levy,Andrew J. Eckert,Andrew J. Eckert",American Journal of Botany,2016
