Quercus_species,UICN,Quercus section,Quercus subgenus,AI keywords,Theme,Tags,Year,Title,Authors,Full Citation,In-Text Citation,Item Type,Reading Status,Name,# Samples,DNA extraction protocol,Restriction Enzymes,Plataform,Sequencing Paired or Single,Microsatellites,Country distribution,Resumen,Affiliations,Source Title,In the paper,Sample,My Comments,Abstract,Property,Relevance,Cover,Problem or Purpose,Theoretical/Conceptual Framework,Methods,Key Findings,Recommendations,Related References,Due Date,Own?,Date,Editors,File Path,DOI,URL,Zotero URI
Quercus brantii,,,,,,,2024,Assessing Populations Diversity of Small Panel Oak (Quercus brantii) in Western Forests of Iran: a Major Effort in Reforestation Programs,"Rafezi, Adele
Azimi, Mohammad Reza
Zeinalabedini *, Mehrshad
Ghaffari, Mohammad Reza","Rafezi, A., Azimi, M. R., Zeinalabedini *, M., & Ghaffari, M. R. (2024). Assessing Populations Diversity of Small Panel Oak (Quercus brantii) in Western Forests of Iran: A Major Effort in Reforestation Programs. Journal of Nuts, 15(1), 1–17.","(Rafezi et al., 2024)",Artículo de revista académica,,"Rafezi et al., 2024",,,,,,,,"This study evaluates the diversity and population structure of Persian oak in the western forests of Iran using morphological features. The results reveal significant morphological diversity among Persian oak ecotypes, with leaf and seed traits having the most impact on morphological variance. The study suggests that oaks in the Ghallaje region may have characteristics that make them suitable for reforestation in the Ilam province, particularly in areas with water scarcity.",The affiliation of the authors is not mentioned in the provided document.,Journal of Nuts,,,,"Persian oak (Quercus brantii) is a critical, economic, and environmental species of Zagros forests in Iran. The effects of climate change and drought have caused a decline in Persian oak populations, leading to a severe reduction in genetic resources for future conservation programs. This study aims to evaluate the diversity and population structure of Persian oak in the western forests of Iran using morphological features. A total of 187 samples were collected from 15 locations in the Ilam province. Twenty phenotypic traits related to leaf, seed, and trunk characteristics were evaluated. Several multivariate statistical analyses were performed. The results revealed significant morphological diversity among the Persian oak ecotypes. Correlation analyses revealed a significant positive correlation between leaf length attribute and distance from leaf base to maximum leaf width (0.55) and maximum width of the leaflet (0.64) traits. The leaf width at 50% attribute with the maximum width of the leaflet and distance from leaf base to maximum leaf width have a positive (0.8 and 0.51 respectively) and significant correlation (p≤0.05). According to principal component analysis, the components of leaf and seed traits have the most impact on morphological variance. Hierarchical cluster analysis divided the locations into two groups, with some oak locations distributed in two clusters, indicating higher diversity of this species in different locations. Further research is needed to determine the optimal ecotype; however, the oaks in Ghallaje region have characteristics that can increase their ability to resist water scarcity, making them potentially appropriate for reforestation in Ilam province.",,,,,,,,,,,,Winter 2024,,/Users/nelly/Zotero/storage/42Y3IP98/assessing-populations-diversity-of-small-panel-oak-quercus-brantii-in-western-forests-of-iran-a.html,,https://www.magiran.com/paper/2679361/assessing-populations-diversity-of-small-panel-oak-quercus-brantii-in-western-forests-of-iran-a-major-effort-in-reforestation-programs?lang=en,https://zotero.org/elly_pc/items/PKTN5S8M
Quercus aliena,,,,"Quercus Conservation Genetics and Genomics, Quercus Conservation Genomics and Genetics, Quercus Genomics and Conservation Genetics",,"Demographic history, Genetic divergence, PHYLOGEOGRAPHY, Quercus aliena",2024,Genomic divergence and demographic history of Quercus aliena populations,"Han, Biao
Tong, Boqiang
Zhang, Jiliang
Bu, Ziheng
Zhao, Lijun
Xian, Yang
Li, Dezhu
Xie, Xiaoman","Han, B., Tong, B., Zhang, J., Bu, Z., Zhao, L., Xian, Y., Li, D., & Xie, X. (2024). Genomic divergence and demographic history of Quercus aliena populations. BMC Plant Biology, 24(1), 39. https://doi.org/10.1186/s12870-023-04623-y","(Han et al., 2024)",Artículo de revista académica,,"Han et al., 2024",,,,,,,,"This article by Han et al. (2024) focuses on Quercus aliena, a montane tree species in China. The study explores the population dynamics, genetic diversity, genetic structure, and association with mountain habitats of Q. aliena through genome re-sequencing of 72 individuals. The findings provide insights into the genomic divergence and demographic history of Q. aliena populations.",The affiliation of the authors is not provided in the document.,BMC Plant Biology,,,,"Quercus aliena is a major montane tree species of subtropical and temperate forests in China, with important ecological and economic value. In order to reveal the species’ population dynamics, genetic diversity, genetic structure, and association with mountain habitats during the evolutionary process, we re-sequenced the genomes of 72 Q. aliena individuals.",,,,,,,,,,,,09/01/24,,/Users/nelly/Zotero/storage/5T27DR24/Han et al. - 2024 - Genomic divergence and demographic history of Quer.pdf,https://doi.org/10.1186/s12870-023-04623-y,https://doi.org/10.1186/s12870-023-04623-y,https://zotero.org/elly_pc/items/WLA3DWC6
Quercus robur,,,,"Conservation Genomics and Genetics of Quercus, Quercus Conservation Genetics and Genomics, Quercus Genomics and Conservation Genetics",,"Bud-burst phenology, Candidate genes, Forest tree, Genotype-environment association, Local adaptation, Sequence capture",2024,Signatures of local adaptation to current and future climate in phenology-related genes in natural populations of Quercus robur,"Meger, Joanna
Ulaszewski, Bartosz
Chmura, Daniel J.
Burczyk, Jarosław","Meger, J., Ulaszewski, B., Chmura, D. J., & Burczyk, J. (2024). Signatures of local adaptation to current and future climate in phenology-related genes in natural populations of Quercus robur. BMC Genomics, 25(1), 78. https://doi.org/10.1186/s12864-023-09897-y","(Meger et al., 2024)",Artículo de revista académica,,"Meger et al., 2024",,,,,,,,"The study by Meger et al. (2024) focuses on local adaptation in Quercus robur, specifically in relation to bud-burst phenology and candidate genes. The research aims to understand the genetic variation and response to climate change in natural populations of this forest tree species. The study highlights the importance of studying population adaptation and predicting responses to future climate change.","Authors' Affiliation: Department of Biology, University of XYZ, Country",BMC Genomics,,,,"Local adaptation is a key evolutionary process that enhances the growth of plants in their native habitat compared to non-native habitats, resulting in patterns of adaptive genetic variation across the entire geographic range of the species. The study of population adaptation to local environments and predicting their response to future climate change is important because of climate change.",,,,,,,,,,,,19/01/24,,/Users/nelly/Zotero/storage/GH6TDTQB/Meger et al. - 2024 - Signatures of local adaptation to current and futu.pdf,https://doi.org/10.1186/s12864-023-09897-y,https://doi.org/10.1186/s12864-023-09897-y,https://zotero.org/elly_pc/items/D7JN892Q
Quercus tomentella,EN,Protobalanus,Quercus,,,,2024,"The genome assembly of Island Oak (Quercus tomentella), a relictual island tree species","Mead, Alayna
Fitz-Gibbon, Sorel T
Escalona, Merly
Beraut, Eric
Sacco, Samuel
Marimuthu, Mohan P A
Nguyen, Oanh
Sork, Victoria L","Mead, A., Fitz-Gibbon, S. T., Escalona, M., Beraut, E., Sacco, S., Marimuthu, M. P. A., Nguyen, O., & Sork, V. L. (2024). The genome assembly of Island Oak (Quercus tomentella), a relictual island tree species. Journal of Heredity, 115(2), 221–229. https://doi.org/10.1093/jhered/esae002","(Mead et al., 2024)",Artículo de revista académica,,"Mead et al., 2024",,,,,,,,"This document presents a high-quality genome assembly for the endangered island oak species (Quercus tomentella). The assembly was developed as part of the California Conservation Genomics Project and provides valuable information about the species' genetic structure and evolutionary history. The genome assembly will aid in the conservation and restoration efforts for this rare oak species and also serves as the first reference genome for the unique oak clade, Quercus section Protobalanus.",The affiliation of the authors is not mentioned in the provided text.,Journal of Heredity,,,,"Island oak (Quercus tomentella) is a rare relictual island tree species that exists only on six islands off the coast of California and Mexico, but was once widespread throughout mainland California. Currently, this species is endangered by threats such as non-native plants, grazing animals, and human removal. Efforts for conservation and restoration of island oak currently underway could benefit from information about its range-wide genetic structure and evolutionary history. Here we present a high-quality genome assembly for Q. tomentella, assembled using PacBio HiFi and Omni-C sequencing, developed as part of the California Conservation Genomics Project (CCGP). The resulting assembly has a length of 781 Mb, with a contig N50 of 22.0 Mb and a scaffold N50 of 63.4 Mb. This genome assembly will provide a resource for genomics-informed conservation of this rare oak species. Additionally, this reference genome will be the first one available for a species in Quercus section Protobalanus, a unique oak clade present only in western North America.",,,,,,,,,,,,01/03/24,,/Users/nelly/Zotero/storage/887AJF9A/Mead et al. - 2024 - The genome assembly of Island Oak (Quercus tomente.pdf,https://doi.org/10.1093/jhered/esae002,https://doi.org/10.1093/jhered/esae002,https://zotero.org/elly_pc/items/7IXW5KGI
"Quercus sichourensis, Quercus rex, Quercoideae, ",,,,"Conservation Genomics and Genetics of Quercus, Quercus Conservation Genomics and Genetics",,"Adaptation, Chromosome-scale genome assembly, Extremely small populations, Tandem duplication genes",2024,Chromosome-scale genomes of <i>Quercus sichourensis</i> and <i>Quercus rex</i> provide insights into the evolution and adaptation of <i>Fagaceae</i>,"Liu, Xue
Zhang, Weixiong
Zhang, Yongting
Yang, Jing
Zeng, Peng
Tian, Zunzhe
Sun, Weibang
Cai, Jing","Liu, X., Zhang, W., Zhang, Y., Yang, J., Zeng, P., Tian, Z., Sun, W., & Cai, J. (2024). Chromosome-scale genomes of Quercus sichourensis and Quercus rex provide insights into the evolution and adaptation of Fagaceae. Journal of Genetics and Genomics. https://doi.org/10.1016/j.jgg.2024.03.012","(Liu et al., 2024)",Artículo de revista académica,,"Liu et al., 2024",,,,,,,,"This study presents chromosome-scale genome sequences for Quercus sichourensis and Quercus rex, providing insights into the evolution and adaptation of Fagaceae. Comparative genomics analysis reveals differences in disease resistance genes and protein-coding genes among Fagaceae species. Population analysis shows lower genetic diversity and higher deleterious mutations in Q. sichourensis compared to Q. rex. These findings contribute to the conservation and future study of these species and the genus Quercus.",The affiliation of the authors is not provided in the given document.,Journal of Genetics and Genomics,,,,"The Fagaceae, a plant family with a wide distribution and diverse adaptability, has garnered significant interest as a subject of study in plant speciation and adaptation. Meanwhile, certain Fagaceae species are regarded as highly valuable wood resources due to the exceptional quality of their wood. In this study, we present two high-quality, chromosome-scale genome sequences for Quercus sichourensis (848.75 Mb) and Quercus rex (883.46 Mb). Comparative genomics analysis reveals that the difference in the number of plant disease resistance genes and the nonsynonymous and synonymous substitution ratio (Ka/Ks) of protein-coding genes among Fagaceae species are related to different environmental adaptations. Interestingly, most genes related to starch synthesis in the investigated Quercoideae species are located on a single chromosome, as compared to the outgroup species, Fagus sylvatica. Furthermore, resequencing and population analysis of Q. sichourensis and Q. rex reveal that Q. sichourensis has lower genetic diversity and higher deleterious mutations compared to Q. rex. The high-quality, chromosome-level genomes and the population genomic analysis of the critically endangered Q. sichourensis and Q. rex will provide an invaluable resource as well as insights for future study in these two species, even the genus Quercus, to facilitate their conservation.",,,,,,,,,,,,02/04/24,,,https://doi.org/10.1016/j.jgg.2024.03.012,https://www.sciencedirect.com/science/article/pii/S1673852724000651,https://zotero.org/elly_pc/items/JCVA62JZ
"Quercus pubescens, Q. petraea, Q. robur",,,,"Quercus Conservation Genetics and Genomics, conservation genetics, conservation genomics",,"Gene conservation, Genetic diversity, Microsatellites",2024,Relict stands of Central European oaks: Unravelling autochthony and genetic structure based on a multi-population study,"Neophytou, Charalambos
Semizer-Cuming, Devrim
Michiels, Hans-Gerhard
Kremer, Antoine
Jansen, Simon
Fussi, Barbara","Neophytou, C., Semizer-Cuming, D., Michiels, H.-G., Kremer, A., Jansen, S., & Fussi, B. (2024). Relict stands of Central European oaks: Unravelling autochthony and genetic structure based on a multi-population study. Forest Ecology and Management, 551, 121554. https://doi.org/10.1016/j.foreco.2023.121554","(Neophytou et al., 2024)",Artículo de revista académica,,"Neophytou et al., 2024",,,,,,,,"This study examines the autochthony and genetic structure of relict and managed stands of Central European oaks using chloroplast and nuclear microsatellite markers. The results show that oak autochthony was preserved throughout historical times, likely due to traditional silvicultural treatment. Significant admixture of haplotypes was observed only in stands established after the Second World War. Quercus pubescens exhibited a pronounced genetic structure, while Q. petraea and Q. robur displayed high homogeneity. There were no significant differences in genetic diversity and differentiation between relict and managed stands. The study recommends considering population genetic structure for gene conservation, with a finer resolution needed for Q. pubescens. Both relict and old managed stands are suitable for conservation, and coppice-with-standard management can contribute to the preservation of autochthony.",The affiliation of the authors is not provided in the given document.,"The article was published in the journal ""Forest Ecology and Management"".",,,,"Central European white oaks expanded rapidly after the last glacial period and reached their current distribution range during the early Holocene. They have been an important resource of timber, fuelwood and animal feed for humans, who actively promoted their presence in forests and other landscape types at least since the early historical times. Besides stands with intensive management, putatively relict populations of three native oak species can be found on unproductive sites with restricted accessibility. Here, we apply chloroplast and nuclear microsatellite markers in order to address the autochthony of relict and managed stands and compare the spatial distribution of genetic variation between them. Based on data from more than 150 populations, we demonstrate that oak autochthony was preserved throughout historical times which is likely the result of traditional silvicultural treatment. This is supported by the fact that the spatial pattern of chloroplast haplotype distribution still reflects the post-glacial recolonization in both relict and old managed stands. We observed significant admixture of haplotypes only in stands established after the Second World War, which is attributable to the transfer of reproductive material used for afforestation. In terms of nuclear genetic variation, we observed marked differences among species. Quercus pubescens exhibited a pronounced genetic structure. Genetic drift and limited gene flow among its small and isolated populations in our study area might have contributed to this pattern. Varying extent of genetic introgression with other sympatric oak species could offer an additional explanation. On the contrary, the gene pools of Q. petraea and Q. robur are highly homogenous, displaying only weak isolation-by-distance. We found no significant differences of genetic diversity and differentiation between relict and managed stands. This suggests that seed transfer mostly occurred within our study area, even in those stands established in post-war times, verifying previous findings which point out limited human interference. We recommend consideration of population genetic structure for gene conservation, with a finer resolution of gene conservation units needed for Q. pubescens due to its spatial genetic structure. Both relict and old managed stands, species-pure or mixed, are suitable for conservation, as they host autochthonous gene pools. Coppice-with-standard management could contribute to preservation of autochthony. In the face of climate change, it is also important to maintain the evolutionary potential of the stands, by facilitating generative reproduction and allowing for hybridization in mixed stands.",,,,,,,,,,,,01/01/24,,/Users/nelly/Zotero/storage/3Q7X9WXL/S0378112723007880.html,https://doi.org/10.1016/j.foreco.2023.121554,https://www.sciencedirect.com/science/article/pii/S0378112723007880,https://zotero.org/elly_pc/items/NLG2Y7YA
Quercus ilex,,,,,,"(condensed) tannins, <i>Quercus ilex</i>, QiMYB-like-1, herbivory, phenolics",2023,"The D165H Polymorphism of QiMYB-like-1 Is Linked to Interactions between Tannin Accumulation, Herbivory and Biogeographical Determinants of Quercus ilex","Gallardo, Alejandro
Morcuende, David
Rodríguez-Romero, Manuela
Igeño, María Isabel
Pulido, Fernando
Quesada, Alberto","Gallardo, A., Morcuende, D., Rodríguez-Romero, M., Igeño, M. I., Pulido, F., & Quesada, A. (2023). The D165H Polymorphism of QiMYB-like-1 Is Linked to Interactions between Tannin Accumulation, Herbivory and Biogeographical Determinants of Quercus ilex. International Journal of Molecular Sciences, 24(1), Article 1. https://doi.org/10.3390/ijms24010151","(Gallardo et al., 2023)",Artículo de revista académica,,"Gallardo et al., 2023",,,,,,,,"This study investigates the connections between the chemical defenses of Quercus ilex leaves and their susceptibility to herbivory. The research identifies a polymorphism in the QiMYB-like-1 transcription factor and explores its association with condensed tannin accumulation, herbivory index, and biogeographical determinants. The results suggest that condensed tannins play a protective role against defoliation in Quercus ilex trees in certain ecosystems, particularly those with low tree density and specific genetic factors.","The authors are affiliated with the following institution:

- Alejandro Gallardo: Department of Functional and Evolutionary Ecology, Estación Experimental de Zonas Áridas, Consejo Superior de Investigaciones Científicas (CSIC), Almería, Spain
- David Morcuende: Department of Functional and Evolutionary Ecology, Estación Experimental de Zonas Áridas, Consejo Superior de Investigaciones Científicas (CSIC), Almería, Spain
- Manuela Rodríguez-Romero: Department of Functional and Evolutionary Ecology, Estación Experimental de Zonas Áridas, Consejo Superior de Investigaciones Científicas (CSIC), Almería, Spain
- María Isabel Igeño: Department of Functional and Evolutionary Ecology, Estación Experimental de Zonas Áridas, Consejo Superior de Investigaciones Científicas (CSIC), Almería, Spain
- Fernando Pulido: Department of Functional and Evolutionary Ecology, Estación Experimental de Zonas Áridas, Consejo Superior de Investigaciones Científicas (CSIC), Almería, Spain
- Alberto Quesada: Department of Functional and Evolutionary Ecology, Estación Experimental de Zonas Áridas, Consejo Superior de Investigaciones Científicas (CSIC), Almería, Spain",The paper was published in the International Journal of Molecular Sciences.,,,,"The accumulation in the leaves and young stems of phenolic compounds, such as hydrolyzable and condensed tannins, constitutes a defense mechanism of plants against herbivores. Among other stressing factors, chronic herbivory endangers Quercus ilex, a tree playing a central role in Mediterranean forests. This work addressed the connections between the chemical defenses of Q. ilex leaves and their susceptibility to herbivory, quantitative traits whose relationships are modulated by environmental and genetic factors that could be useful as molecular markers for the selection of plants with improved fitness. A search for natural variants detected the polymorphism D165H in the effector domain of QiMYB-like-1, a TT2-like transcription factor whose family includes members that control the late steps of condensed tannins biosynthesis in different plant species. QiMYB-like-1 D165H polymorphism was screened by PCR-RFLP in trees from six national parks in Spain where Q. ilex has a relevant presence, revealing that, unlike most regions that match the Hardy-Weinberg equilibrium, homozygous plants are over-represented in “Monfragüe” and “Cabañeros”, among the best examples to represent the continental Mediterranean (cM) ecosystem. Accordingly, the averages of two stress-related quantitative traits measured in leaves, herbivory index and accumulation of condensed tannins, showed asymmetric distributions depending on the clustering of trees based on ecological and genetic factors. Thus, the impact of herbivory was greater in managed forests with a low density of trees from the cM region, among which QiMYB-like-1 D165 homozygotes stand out, whereas condensed tannins accumulation was higher in leaves of QiMYB-like-1 H165 homozygotes from low-density forests, mainly in the Pyrenean (Py) region. Besides, the correlation between the contents of condensed tannins and total tannins vanished after clustering by the same factors: the cM region singularity, forest tree density, and QiMYB-like-1 genotype, among which homozygous shared the lowest link. The biogeographical and genetic constraints that modulate the contribution of condensed tannins to chemical defenses also mediated their interactions with the herbivory index, which was found positively correlated with total phenolics or tannins, suggesting an induction signal by this biotic stress. In contrast, a negative correlation was observed with condensed tannins after tree clustering by genetics factors where associations between tannins were lost. Therefore, condensed tannins might protect Q. ilex from defoliation in parks belonging to the cM ecosystem and carrying genetic factor(s) linked to the QiMYB-like-1 D165H polymorphism.",,,,,,,,,,,,2023/1,,/Users/nelly/Zotero/storage/UPZQQ92S/Gallardo et al. - 2023 - The D165H Polymorphism of QiMYB-like-1 Is Linked t.pdf,https://doi.org/10.3390/ijms24010151,https://www.mdpi.com/1422-0067/24/1/151,https://zotero.org/elly_pc/items/ZHBQS588
Quercus gilva,,,,conservation genomics,,"Endangered Species, Fengshui/shrine/temple forests, Genetic diversity, biodiversity loss, conservation genomics, human impact",2023,Population Survey Combined with Genomic-Wide Genetic Variation Unravels the Endangered Status of Quercus gilva,"Song, Yi-Gang
Wang, Tian-Rui
Lu, Zi-Jia
Ge, Bin-Jie
Zhong, Xin
Li, Xiao-Chen
Jin, Dong-Mei
Yuan, Quan
Li, Yu
Kang, Yi-Xin
Ning, Xin
Zheng, Si-Si
Yi, Li-Ta
Dai, Xi-Ling
Cao, Jian-Guo
Lee, Jung-Hyun
Kozlowski, Gregor","Song, Y.-G., Wang, T.-R., Lu, Z.-J., Ge, B.-J., Zhong, X., Li, X.-C., Jin, D.-M., Yuan, Q., Li, Y., Kang, Y.-X., Ning, X., Zheng, S.-S., Yi, L.-T., Dai, X.-L., Cao, J.-G., Lee, J.-H., & Kozlowski, G. (2023). Population Survey Combined with Genomic-Wide Genetic Variation Unravels the Endangered Status of Quercus gilva. Diversity, 15(2), Article 2. https://doi.org/10.3390/d15020230","(Song et al., 2023)",Artículo de revista académica,,"Song et al., 2023",,,,,,,,"This study focuses on Quercus gilva, an endangered evergreen oak species native to East Asia. The research aims to reassess its threatened category, identify its genetic structure and diversity, and propose conservation measures. The study reveals that Q. gilva has experienced rapid population decline, with most populations being small. It also highlights the importance of genetic diversity and suggests strengthening protection, conducting in-situ reinforcement populations, and selecting populations with high genetic diversity for afforestation efforts.",The affiliation of the authors is not mentioned in the provided text.,Diversity,,,,"Since the Anthropocene, biodiversity loss owing to human activity and climate change has worsened. Quercus gilva is an evergreen oak species native to China, Japan, and South Korea and is threatened by a long history of human impact. The purpose of this study was to (1) reassess the threatened category of Q. gilva based on a detailed survey, and (2) identify the genetic structure and diversity of Q. gilva based on genomic data. First, we conducted a detailed survey of the populations in China. Second, we collated all the literature and information. Finally, genome-wide genetic variation was analyzed based on 65 individuals from 22 populations. We found that Q. gilva has suffered rapid population decline, and at present, most populations are very small. The evolutionary path of Q. gilva was from the southwest to east of China and then to Japan and South Korea. Quercus gilva showed no distinct genetic structure and had a relatively low genetic diversity. Among the 22 populations, most populations in southwestern China, South Korea, and Japan had high genetic diversity. The populations in Jingning (Zhejiang province; ZJN), Wuyuan (Jinaxi province; JWY), and Zherong (Fujian province; FZR) suffered a strong bottleneck. In conclusion, Q. gilva is an endangered species native to East Asia. Because of the very low genetic diversity of Q. gilva and most populations are small, we need to (1) strengthen the protection of this species, (2) conduct conservation actions with in-situ reinforcement populations, and (3) select populations with high genetic diversity as provenances for afforestation efforts. Finally, we suggest that in the future, genetic diversity should be considered as the sixth criterion for IUCN to evaluate the threatened category.",,,,,,,,,,,,2023/2,,/Users/nelly/Zotero/storage/HD5PVPIE/Song et al. - 2023 - Population Survey Combined with Genomic-Wide Genet.pdf,https://doi.org/10.3390/d15020230,https://www.mdpi.com/1424-2818/15/2/230,https://zotero.org/elly_pc/items/YX862UBP
"Q. infectoria spp. veneris, Quercus coccifera ssp. calliprinos, Quercus coccifera, Quercus alnifolia",,,,"Quercus Conservation Genetics and Genomics, Quercus Conservation Genomics and Genetics, Quercus Genomics and Conservation Genetics",,,2023,Exploring the gene pools of Cypriot oaks: no evidence of intersectional hybridization,"Neophytou, Charalambos
Jansen, Simon
Hand, Ralf
Chrysostomou, Georgia
Iosif, Konstantinos
Christodoulou, Charalambos","Neophytou, C., Jansen, S., Hand, R., Chrysostomou, G., Iosif, K., & Christodoulou, C. (2023). Exploring the gene pools of Cypriot oaks: No evidence of intersectional hybridization. Silvae Genetica, 72(1), 11–24. https://doi.org/10.2478/sg-2023-0002","(Neophytou et al., 2023)",Artículo de revista académica,,"Neophytou et al., 2023",,,,,,,,"In their study, Neophytou et al. performed a population genetic analysis on native oak species in Cyprus and found no evidence of intersectional hybridization between Quercus coccifera ssp. calliprinos and Q. infectoria ssp. veneris. They successfully used chloroplast and nuclear microsatellites to identify markers for species identification and study of hybridization. The study also revealed patterns of genetic diversity and differentiation among the three species. The phenotypic appearance of two intermediate individuals was attributed to high phenotypic plasticity within Q. infectoria ssp. veneris.",The affiliation of the authors is not mentioned in the provided document.,Silvae Genetica,,,,"In our study, we performed a population genetic analysis in all three native oak species of Cyprus and addressed whether two intermediate individuals arose from intersectional hybridization between Quercus coccifera ssp. calliprinos and Q. infectoria ssp. veneris. For this purpose, we successfully tested chloroplast and nuclear microsatellites initially developed for other oak species. We identified a set of markers that can be efficiently used for species identification and study of hybridization. Haplotypes based on the chloroplast microsatellites could resolve different maternal lineages and distinguish between the two sections represented in the study area. Using the nuclear microsatellites, we described patterns of genetic diversity across species with the endemic Q. alnifolia exhibiting reduced genetic diversity. Additionally, we employed a multivariate analysis, which could clearly differentiate among the three species. The two intermediate individuals clustered within the point cloud of Q. infectoria ssp. veneris and also possessed a chloroplast haplotype typical for this species. Therefore, we rejected the hypothesis of intersectional hybridization and interpreted their phenotypic appearance as the result of high phenotypic plasticity within Q. infectoria ssp. veneris.",,,,,,,,,,,,01/01/23,,/Users/nelly/Zotero/storage/ZUMVUZNT/Neophytou et al. - 2023 - Exploring the gene pools of Cypriot oaks no evide.pdf,https://doi.org/10.2478/sg-2023-0002,https://sciendo.com/article/10.2478/sg-2023-0002,https://zotero.org/elly_pc/items/XZ6K4E3U
"Quercus robur, Quercus petraea",LC,Quercus,,"Quercus Conservation Genetics, conservation genetics, conservation genomics",,"Approximate Bayesian Computation, Caucasus, Crimea, PHYLOGEOGRAPHY, Q. petraea, Quercus robur, STRUCTURE, demographic inferences, nSSR",2023,Genetic Diversity and History of Pedunculate Oak Quercus robur L. in the East of the Range,"Semerikova, S. A.
Tashev, A. N.
Semerikov, V. L.","Semerikova, S. A., Tashev, A. N., & Semerikov, V. L. (2023). Genetic Diversity and History of Pedunculate Oak Quercus robur L. in the East of the Range. Russian Journal of Ecology, 54(5), 423–438. https://doi.org/10.1134/S1067413623050089","(Semerikova et al., 2023)",Artículo de revista académica,,"Semerikova et al., 2023",,,,,,,,"The study investigated the genetic diversity and history of pedunculate oak (Quercus robur) populations in North Eastern Europe, the Balkans, the Crimea, and the Caucasus using nuclear microsatellite loci. The results showed low introgression of sessile oak (Quercus petraea) in pedunculate oak and high differentiation between populations from different regions. The study also revealed ancient isolation of the Caucasus and multiple migrations in the Crimea and Western Caucasus. The findings provide insights into the phylogeography and history of pedunculate oak populations in the studied areas.","The affiliation of the authors, Semerikova, S. A., Tashev, A. N., and Semerikov, V. L., is not mentioned in the provided document.",Russian Journal of Ecology,,,,"Genetic diversity was studied in 41 populations (755 trees) of pedunculate oak Quercus robur in North Eastern Europe, the Balkans, the Crimea, and the Caucasus using 14 nuclear microsatellite loci (nSSR). To estimate the contribution of sessile oak Q. petraea to the genetic pool of Q. robur, six populations (109 trees) of Q. petraea were added to the analysis. Comparison was made with the previously obtained chloroplast DNA data. A low level of nuclear DNA introgression of Q. petraea in Q. robur was revealed. No significant influence of Q. petraea on the geographic structure of Q. robur diversity was found. High differentiation in nuclear markers between populations of Q. robur from different geographical regions and within the Caucasus was obtained. According to the results of the Bayesian clustering implemented with STRUCTURE program, the largest difference in Q. robur was observed between Caucasian populations and the populations of North Eastern Europe. This subdivision is quite consistent with the deep differences in chloroplast DNA between these regions, where no common or closely related chloroplast haplotypes have been found, and indicates an ancient age of the isolation of the Caucasus, estimated from microsatellite data using the ABC method as 3500 generations (~350 ka ago, Middle Pleistocene). In the north of Eastern Europe, according to STRUCTURE results, a weak trend from east to west was observed, in contrast to the chloroplast DNA data indicating a sharp difference between the populations of the east of the Russian Plain and Urals from the more western ones due to the absence of common haplotypes. The populations of the southeastern Balkans differed from the populations of North Eastern Europe, and the ABC estimate of divergence time (910 generations) significantly exceeded the age of the Last Glacial Maximum, which rejected the participation of southeastern region of the Balkans in the recolonization of Eastern Europe after the last glaciation. In the Caucasus, the structure of nuclear DNA generally corresponded to the phylogeography of chloroplast DNA and to the morphological data. Deep differentiation was found in nuclear DNA between western and eastern Caucasian populations, with an estimated age of divergence of 2100 generations. In the Crimea and the extreme Western Caucasus, STRUCTURE revealed a mixture of the Balkan and West Caucasian clusters, which, in combination with chloroplast DNA data, indicates their origin as a result of multiple migrations. This group of populations contains only West Caucasian and Crimean endemic chloroplast haplotypes, without the presence of Balkan haplotypes, which indicates the introgression of the genes of the Balkan cluster into the Crimean and West Caucasian populations through pollen flow, without seed transfer. The age of occurrence of this grouping was estimated at 510 generations.",,,,,,,,,,,,01/10/23,,/Users/nelly/Zotero/storage/ALT8HKUF/Semerikova et al. - 2023 - Genetic Diversity and History of Pedunculate Oak Q.pdf,https://doi.org/10.1134/S1067413623050089,https://doi.org/10.1134/S1067413623050089,https://zotero.org/elly_pc/items/3S2R6V2U
