"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6P4VSDXN","journalArticle","2019","Burge, Dylan O.; Parker, V. Thomas; Mulligan, Margaret; Sork, Victoria L.","Influence of a climatic gradient on genetic exchange between two oak species","American Journal of Botany","","1537-2197","10.1002/ajb2.1315","https://onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.1315","Premise In plant groups with limited intrinsic barriers to gene flow, it is thought that environmental conditions can modulate interspecific genetic exchange. Oaks are known for limited barriers to gene flow among closely related species. Here, we use Quercus as a living laboratory in which to pursue a fundamental question in plant evolution: Do environmental gradients restrict or promote genetic exchange between species? Methods We focused on two North American oaks, the rare Quercus dumosa and the widespread Q. berberidifolia. We sampled intensively along a contact zone in California, USA. We sequenced restriction site-associated DNA markers and measured vegetative phenotype. We tested for genetic exchange, the association with climate, and the effect on phenotype. Results There is evidence for genetic exchange between the species. Admixed plants are found in areas of intermediate climate, while less admixed plants are found at the extremes of the climatic gradient. Genetic and phenotypic patterns are out of phase in the contact zone; some plants display the phenotype of one species but are genetically associated with another. Conclusions Our results support the hypothesis that a strong climatic gradient can promote genetic exchange between species. The overall weak correlation between genotype and phenotype in the contact zone between the species suggests that genetic exchange can lead to the breakdown of trait combinations used to define species. This incongruency predicts ongoing problems for conservation of Q. dumosa, with implications for conservation of other oaks.","2019","2024-05-29 08:41:05","2024-05-29 08:41:12","2024-05-29 08:41:05","864-878","","6","106","","","","","","","","","","en","© 2019 Botanical Society of America","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/ajb2.1315","","/Users/nelly/Zotero/storage/WCXVV4YT/Burge et al. - 2019 - Influence of a climatic gradient on genetic exchan.pdf; ; /Users/nelly/Zotero/storage/GS6AYVQQ/ajb2.html","notion://www.notion.so/Burge-et-al-2019-924e8f01f64c4b92b667e28d35c54a7c","notion","climate; drought; genomic; hybridization; phenotype; population; RADseq; rare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RD3IGLJY","journalArticle","2010","Denk, Thomas; Grimm, Guido W.","The oaks of western Eurasia: Traditional classifications and evidence from two nuclear markers","TAXON","","1996-8175","10.1002/tax.592002","https://onlinelibrary.wiley.com/doi/abs/10.1002/tax.592002","Phylogenetic relationships among species of Quercus (oaks) from western Eurasia including the western part of the Himalayas are examined for the first time. Based on ITS and 5S–IGS data three major infrageneric groups are recognized for western Eurasia: the cerroid, iliciod, and roburoid oaks. While individuals of the cerroid and ilicoid groups cluster according to their species, particularly in the 5S–IGS analyses, individuals of species of roburoid oaks do not cluster with exception of Quercus pontica. The Cypriot endemic Quercus alnifolia belongs to the ilicoid oaks, in contrast to traditional views placing it within the cerroid oaks. Based on all ITS data available, the groups identified for western Eurasia can be integrated into a global infrageneric framework for Quercus. The Ilex group is resurrected as a well–defined group that comprises taxa traditionally placed into six subsections of Q. sects. Cerris and Lepidobalanus (white oaks) sensu Camus. Phylogenetic reconstructions suggest two major lineages within Quercus, each consisting of three infrageneric groups. Within the first lineage, the Quercus group (roburoid oaks in western Eurasia) and the Lobatae group evolved by “budding” as is reflected by incomplete lineage sorting, high variability within groups, and low differentiation among groups. The groups of the second lineage, including the Cyclobalanopsis, Cerris (cerroid oaks in western Eurasia), and Ilex (ilicoid oaks in western Eurasia) groups, evolved in a more tree–like fashion.","2010","2024-05-29 08:55:47","2024-05-29 08:55:54","2024-05-29 08:55:47","351-366","","2","59","","","The oaks of western Eurasia","","","","","","","en","© 2010 International Association for Plant Taxonomy (IAPT) all rights reserved","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/tax.592002","","; /Users/nelly/Zotero/storage/SSWKC6IX/tax.html","notion://www.notion.so/Denk-Grimm-2010-800b2605a5934818af2be2aa6cf3638c","notion","Darwinian classification; intrageneric evolution; intraindividual variability; phylogenetic networks; Quercus; RDNA spacers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGBRBFGD","journalArticle","2015","Song, Yigang; Deng, Min; Hipp, Andrew L.; Li, Qiansheng","Leaf morphological evidence of natural hybridization between two oak species (Quercusaustrocochinchinensis and Q. kerrii) and its implications for conservation management","European Journal of Forest Research","","1612-4677","10.1007/s10342-014-0839-x","https://doi.org/10.1007/s10342-014-0839-x","Natural hybridization is known to be a potential threat to rare and endangered species due to the risk of extensive genetic swamping or assimilation. However, hybridization may also beneficial for rare species by increasing their genetic variation and adaptive potential. Quercus austrocochinchinensis is an endangered oak species that overlaps geographically with the common, widespread Q. kerrii. Morphological intermediates are common in contact zones between the species, suggesting interspecific hybridization. This phenomenon may lead to pure Q. austrocochinchinensis facing a larger threat. Given the importance of leaf morphology for hybrid identification in oaks, we characterized leaf morphological and anatomical features of pure populations of Q. kerrii and Q. austrocochinchinensis and a population of probable hybrids at the contact zone. The results demonstrate that (1) leaf morphological features of putative hybrids are stable and distinct from the parental taxa, and more similar to those of Q. kerrii; (2) anticlinal wall patterns of abaxial epidermal cells show the most significant differences between parental species and probable hybrids, providing an important character for species identification; and (3) putative hybrids were intermediate in leaf anatomical features between the two parental species. The leaf traits for identified Q. austrocochinchinensis, Q. kerrii and hybrids can be used to estimate the hybridization ratio at the contact zone. The morphological evidence, sympatry and phenology strongly suggest that the rare Q. austrocochinchinensis forms hybrids with the more widespread Q. kerrii. Natural hybridization might play an important future role in both migration and adaptation of the species to novel environments. Thus, the characters we identify here for diagnosing hybrids provide an important tool for conserving species and genetic diversity. We suggest that a management plan for Q. austrocochinchinensis should address the conservation of both of the pure species, investigation of gene flow dynamics in the hybrid zone and investigation of the impacts of gene flow on fitness of the two species.","2015-01-01","2024-05-29 09:29:41","2024-05-29 09:29:56","2024-05-29 09:29:41","139-151","","1","134","","Eur J Forest Res","","","","","","","","en","","","","","Springer Link","","","","/Users/nelly/Zotero/storage/G8USM8TF/Song et al. - 2015 - Leaf morphological evidence of natural hybridizati.pdf; ","notion://www.notion.so/Song-et-al-2015-58a15ca4baea403daea7c69dcb55a906","notion","Conservation; Endangered species; Hybrid zone; Leaf epidermis; Leaf morphological variation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5R5ZWWSG","journalArticle","2017","Gharehaghaji, Maryam; Minor, Emily S.; Ashley, Mary V.; Abraham, Saji T.; Koenig, Walter D.","Effects of landscape features on gene flow of valley oaks (Quercus lobata)","Plant Ecology","","1573-5052","10.1007/s11258-017-0705-2","https://doi.org/10.1007/s11258-017-0705-2","Landscape features affect habitat connectivity and patterns of gene flow and hence influence genetic structure among populations. We studied valley oak (Quercus lobata), a threatened species of California (USA) savannas and oak woodlands, with a distribution forming a ring around the Central Valley grasslands. Our main goal was to determine the role of topography and land cover on patterns of gene flow and to test whether elevation or land cover forms stronger barriers to gene flow among valley oak populations. We sampled valley oaks in 12 populations across the range of this species, genotyped each tree at eight nuclear microsatellite loci, and created a series of resistance surfaces by assigning different resistance values to land cover type and elevation. We also estimated recent migration rates and evaluated them with regard to landscape features. There was a significant but weak relationship between Euclidian distance and genetic distance. There was no relationship between genetic distances and land cover, but a significant relationship between genetic distances and elevation resistance. We conclude that gene flow is restricted by high elevations in the northern part of the valley oak range and by high elevations and the Central Valley further south. Migration rate analysis indicated some gene flow occurring east–west but we suggest that the high connectivity in the northern Central Valley is facilitating the formation of these links. We predict that southern populations may become more differentiated in the future through genetic isolation and local adaptation taking place in the face of climate change.","2017-04-01","2024-05-29 09:45:48","2024-05-29 09:46:00","2024-05-29 09:45:48","487-499","","4","218","","Plant Ecol","","","","","","","","en","","","","","Springer Link","","","","/Users/nelly/Zotero/storage/JBDJIFT4/Gharehaghaji et al. - 2017 - Effects of landscape features on gene flow of vall.pdf; ","notion://www.notion.so/Gharehaghaji-et-al-2017-e2006bf9edd543148e108e99f738d23a","notion","Circuit theory; Gene flow; Landscape genetics; Landscape resistance; Topography; Valley oak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KGP5UIDY","journalArticle","2016","Xu, Jin; Jiang, Xiao-Long; Deng, Min; Westwood, Murphy; Song, Yi-Gang; Zheng, Si-Si","Conservation genetics of rare trees restricted to subtropical montane cloud forests in southern China: a case study from Quercus arbutifolia (Fagaceae)","Tree Genetics & Genomes","","1614-2950","10.1007/s11295-016-1048-1","https://doi.org/10.1007/s11295-016-1048-1","Montane cloud forests (MCFs), with their isolated nature, offer excellent opportunities to study the long-term effects of habitat fragmentation and the impacts of climate change. Quercus arbutifolia is a rare oak in MCFs of southern China and Vietnam. Its isolated populations, small population size and unique ecological niche make this species vulnerable to climate change and habitat loss. In this study, we used chloroplast (cpDNA) and nuclear (ITS) DNA sequences to investigate genetic divergence patterns and demographic history of five of the six known populations of Q. arbutifolia. Considering its small population size and fragmentation, Q. arbutifolia has unexpectedly high genetic diversity. The time since the most recent common ancestor of all cpDNA haplotypes was c. 10.25 Ma, and the rapid diversification of haplotypes occurred during the Quaternary. The maximum clade credibility chronogram of cpDNA haplotypes suggests that the DM population (Daming Mountain, Guangxi province) diverged early and rapidly became isolated from other populations. The Pearl River drainage system may have been the main geographic barrier between DM and other populations since the late Miocene. ITS data suggests that population expansion occurred during the last interglacial of the Quaternary. The combined effects of pre-Quaternary and Quaternary climatic and geological changes were the main drivers to the current genetic diversity and distribution pattern of Q. arbutifolia. Because of the high between-population genetic differentiation and high within-population genetic diversity of Q. arbutifolia, conservation efforts should be implemented for all populations, but if conservation resources are limited, populations DM, YZ (Mang Mountain, Hunan province) and ZZ (Daqin Mountain, Fujian province) should have priority.","2016-08-30","2024-05-29 09:55:54","2024-05-29 09:56:06","2024-05-29 09:55:54","90","","5","12","","Tree Genetics & Genomes","Conservation genetics of rare trees restricted to subtropical montane cloud forests in southern China","","","","","","","en","","","","","Springer Link","","","","/Users/nelly/Zotero/storage/U9PF47GI/Xu et al. - 2016 - Conservation genetics of rare trees restricted to .pdf; ","notion://www.notion.so/Xu-et-al-2016-0bf1bca3b9284790ac13c6594b27f66f","notion","cpDNA; Endangered; ITS; Phylogeography; Population genetics; Quercus subgenus Cyclobalanopsis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHJCJTDQ","journalArticle","2018","Yang, Yanci; Zhang, Hao; Ren, Ting; Zhao, Guifang","Characterization of the complete plastid genome of Quercus tungmaiensis","Conservation Genetics Resources","","1877-7260","10.1007/s12686-017-0848-4","https://doi.org/10.1007/s12686-017-0848-4","Quercus tungmaiensis is an endemic species to SE Tibet. The complete plastid genome of Q. tungmaiensis was generated by Illumina pair-end sequencing in the current study. The whole plastome had a length of 160,702 bp, consisting of two copies of inverted repeat regions (25,825 bp), a large single copy (LSC) region (90,113 bp) and a small single copy (SSC) region (18,939 bp). The plastome encoded a total of 134 genes, comprising 86 protein-coding genes (79 PCG species), 40 tRNA genes (33 tRNA species), and 8 rRNA genes (4 rRNA species). The overall GC content of Q. tungmaiensis plastome is 36.9%. The maximum likelihood phylogenetic analysis based on 34 complete plastomes revealed that Q. tungmaiensis was closely related to Quercus aquifolioides with 100% bootstrap support value.","2018-09-01","2024-05-29 10:09:22","2024-05-29 10:09:28","2024-05-29 10:09:22","457-460","","3","10","","Conservation Genet Resour","","","","","","","","en","","","","","Springer Link","","","","/Users/nelly/Zotero/storage/J2YTAAQ6/Yang et al. - 2018 - Characterization of the complete plastid genome of.pdf; ","notion://www.notion.so/Yang-et-al-2018-7630664a88e14153b13289f9949e2247","notion","Endemic species; Phylogenetic relationship; Plastid genome; Quercus tungmaiensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQUV32LT","journalArticle","2019","Su, Hailun; Yang, Yanci; Ju, Miaomiao; Li, Huimin; Zhao, Guifang","Characterization of the complete plastid genome of Quercus sichourensis","Conservation Genetics Resources","","1877-7260","10.1007/s12686-017-0977-9","https://doi.org/10.1007/s12686-017-0977-9","Quercus sichourensis is an endemic species in China, and is critically endangered. The complete plastid genome of Q. sichourensis was generated by Illumina pair-end sequencing in the current study. The whole plastome had a length of 160,681 bp, consisting of two copies of inverted repeat regions (25,835 bp), a large single copy region (90,154 bp) and a small single copy region (18,857 bp). The plastome encoded a total of 134 genes, comprising 86 protein-coding genes (79 PCG species), 40 tRNA genes (33 tRNA species), and 8 rRNA genes (4 rRNA species). The overall GC content of Q. sichourensis plastome is 36.9%. The maximum likelihood phylogenetic analysis based on 30 complete plastomes revealed that Q. sichourensis was strictly related to Quercus edithiae with 100% bootstrap support value.","2019-06-01","2024-05-29 10:12:44","2024-05-29 10:12:49","2024-05-29 10:12:44","129-131","","2","11","","Conservation Genet Resour","","","","","","","","en","","","","","Springer Link","","","","/Users/nelly/Zotero/storage/4XZW2NN3/Su et al. - 2019 - Characterization of the complete plastid genome of.pdf; ","notion://www.notion.so/Su-et-al-2019-184071fbf4e24efeac155ffc0c4e01fb","notion","Critically endangered species; Phylogenetic relationship; Plastid genome; Quercus sichourensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87P5CFGT","journalArticle","2021","Zeng, Xueqin; Fischer, Gunter A.","Using multiple seedlots in restoration planting enhances genetic diversity compared to natural regeneration in fragmented tropical forests","Forest Ecology and Management","","0378-1127","10.1016/j.foreco.2020.118819","https://www.sciencedirect.com/science/article/pii/S0378112720315887","Catastrophic degradation of forests is ongoing worldwide and leads to severe forest fragmentation. Restoration plantings are often necessary to restore fragmented forests, complementing the limited natural regeneration. High genetic diversity is critical for the long-term viability of restored forests. However, there is limited knowledge of whether planted populations capture a genetic variation comparable to natural populations. We measured the efficiency of two forest restoration strategies using the common tropical oak Quercus bambusifolia. The multi-seedlot planting was established over ten years by collecting seeds from several locations in fragmented secondary forests of Hong Kong, while the single seedlot planting was established in just one year with seeds from a single natural location. We analysed the genetic diversity and genetic structure from both plantings and compared them with natural populations. The multi-seedlot planting exhibited a higher rate of genetic recovery, greater genetic diversity (He = 0.69), and higher effective population size (Ne_p = 86.5) compared to natural populations (He = 0.66, Ne_p = 64.3, on average) and the single seedlot planting (He = 0.50, Ne_p = 30.8). The multi-seedlot planting erased the effect of seed shadows which was detected in natural populations while the single seedlot planting strengthened the effect. We conclude that capturing high levels of genetic diversity in the collection of propagules is a standard requirement to ensure the long-term viability of forest restoration. Propagule collection over multiple years is required when only a few parental trees are available to avoid founder effects.","2021-02-15","2024-05-29 19:18:16","2024-05-29 19:18:22","2024-05-29 19:18:16","118819","","","482","","Forest Ecology and Management","","","","","","","","","","","","","ScienceDirect","","","","; /Users/nelly/Zotero/storage/87SJ3P22/S0378112720315887.html","notion://www.notion.so/Zeng-Fischer-2021-2d2ef4f55a6144c1b94c161240637024","notion","Genetic diversity; Genetic structure; Multiple seedlots; Natural regeneration; Restoration planting; Single seedlot; Tropical forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCVA62JZ","journalArticle","2024","Liu, Xue; Zhang, Weixiong; Zhang, Yongting; Yang, Jing; Zeng, Peng; Tian, Zunzhe; Sun, Weibang; Cai, Jing","Chromosome-scale genomes of <i>Quercus sichourensis</i> and <i>Quercus rex</i> provide insights into the evolution and adaptation of <i>Fagaceae</i>","Journal of Genetics and Genomics","","1673-8527","10.1016/j.jgg.2024.03.012","https://www.sciencedirect.com/science/article/pii/S1673852724000651","The Fagaceae, a plant family with a wide distribution and diverse adaptability, has garnered significant interest as a subject of study in plant speciation and adaptation. Meanwhile, certain Fagaceae species are regarded as highly valuable wood resources due to the exceptional quality of their wood. In this study, we present two high-quality, chromosome-scale genome sequences for Quercus sichourensis (848.75 Mb) and Quercus rex (883.46 Mb). Comparative genomics analysis reveals that the difference in the number of plant disease resistance genes and the nonsynonymous and synonymous substitution ratio (Ka/Ks) of protein-coding genes among Fagaceae species are related to different environmental adaptations. Interestingly, most genes related to starch synthesis in the investigated Quercoideae species are located on a single chromosome, as compared to the outgroup species, Fagus sylvatica. Furthermore, resequencing and population analysis of Q. sichourensis and Q. rex reveal that Q. sichourensis has lower genetic diversity and higher deleterious mutations compared to Q. rex. The high-quality, chromosome-level genomes and the population genomic analysis of the critically endangered Q. sichourensis and Q. rex will provide an invaluable resource as well as insights for future study in these two species, even the genus Quercus, to facilitate their conservation.","2024-04-02","2024-05-29 19:36:21","2024-05-31 12:51:07","2024-05-29 19:36:21","","","","","","Journal of Genetics and Genomics","","","","","","","","","","","","","ScienceDirect","","","","; /Users/nelly/Zotero/storage/49AT2LRY/S1673852724000651.html","notion://www.notion.so/Liu-et-al-2024-17fc32d027754d348f66db276b34d051","notion","Adaptation; Chromosome-scale genome assembly; Extremely small populations; Tandem duplication genes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KYGZJUT","journalArticle","2006","Mir, C.; Toumi, L.; Jarne, P.; Sarda, V.; Di Giusto, F.; Lumaret, R.","Endemic North African Quercus afares Pomel originates from hybridisation between two genetically very distant oak species (Q. suber L. and Q. canariensis Willd.): evidence from nuclear and cytoplasmic markers","Heredity","","1365-2540","10.1038/sj.hdy.6800782","https://www.nature.com/articles/6800782","Hybridisation is a potent force in plant evolution, although there are few reported examples of stabilised species that have been created through homoploid hybridisation. We focus here on Quercus afares, an endemic North African species that combines morphological, physiological and ecological traits of both Q. suber and Q. canariensis, two phylogenetically distant species. These two species are sympatric with Q. afares over most of its distribution. We studied two Q. afares populations (one from Algeria and one from Tunisia), as well as several populations of both Q. suber and Q. canariensis sampled both within and outside areas where these species overlap with Q. afares. A genetic analysis was conducted using both nuclear (allozymes) and chloroplastic markers, which shows that Q. afares originates from a Q. suber × Q. canariensis hybridisation. At most loci, Q. afares predominantly possesses alleles from Q. suber, suggesting that the initial cross between Q. suber and Q. canariensis was followed by backcrossing with Q. suber. Other hypotheses that can account for this result, including genetic drift, gene silencing, gene conversion and selection, are discussed. A single Q. suber chlorotype was detected, and all Q. afares individuals displayed this chlorotype, indicating that Q. suber was the maternal parent. Q. afares is genetically, morphologically and ecologically differentiated from its parental species, and can therefore be considered as a stabilised hybrid species.","2006-02","2024-05-29 21:38:22","2024-05-29 21:38:31","2024-05-29 21:38:22","175-184","","2","96","","","Endemic North African Quercus afares Pomel originates from hybridisation between two genetically very distant oak species (Q. suber L. and Q. canariensis Willd.)","","","","","","","en","2006 The Genetics Society","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/nelly/Zotero/storage/Q7GJYTJE/Mir et al. - 2006 - Endemic North African Quercus afares Pomel origina.pdf; ","notion://www.notion.so/Mir-et-al-2006-a8f9d780fd6b4aeb87fc5310dc20cbdf","notion","Biomedicine; Cytogenetics; Ecology; Evolutionary Biology; general; Human Genetics; Plant Genetics and Genomics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
