Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
NBB4P2AW,journalArticle,2020,"Han, Eun-Kyeong; Cho, Won-Bum; Park, Jong-Soo; Choi, In-Su; Kwak, Myounghai; Kim, Bo-Yun; Lee, Jung-Hyun","A Disjunctive Marginal Edge of Evergreen Broad-Leaved Oak (Quercus gilva) in East Asia: The High Genetic Distinctiveness and Unusual Diversity of Jeju Island Populations and Insight into a Massive, Independent Postglacial Colonization",Genes,,2073-4425,10.3390/genes11101114,https://www.mdpi.com/2073-4425/11/10/1114,"Jeju Island is located at a marginal edge of the distributional range of East Asian evergreen broad-leaved forests. The low genetic diversity of such edge populations is predicted to have resulted from genetic drift and reduced gene flow when compared to core populations. To test this hypothesis, we examined the levels of genetic diversity of marginal-edge populations of Quercus gilva, restricted to a few habitats on Jeju Island, and compared them with the southern Kyushu populations. We also evaluated their evolutionary potential and conservation value. The genetic diversity and structure were analyzed using 40 polymorphic microsatellite markers developed in this study. Ecological Niche Modeling (ENM) has been employed to develop our insights, which can be inferred from historical distribution changes. Contrary to our expectations, we detected a similar level of genetic diversity in the Jeju populations, comparable to that of the southern Kyushu populations, which have been regarded as long-term glacial refugia with a high genetic variability of East Asian evergreen trees. We found no signatures of recent bottlenecks in the Jeju populations. The results of STRUCTURE, neighbor-joining phylogeny, and Principal Coordinate Analysis (PCoA) with a significant barrier clearly demonstrated that the Jeju and Kyushu regions are genetically distinct. However, ENM showed that the probability value for the distribution of the trees on Jeju Island during the Last Glacial Maximum (LGM) converge was zero. In consideration of these results, we hypothesize that independent massive postglacial colonization from a separate large genetic source, other than Kyushu, could have led to the current genetic diversity of Jeju Island. Therefore, we suggest that the Jeju populations deserve to be separately managed and designated as a level of management unit (MU). These findings improve our understanding of the paleovegetation of East Asian evergreen forests, and the microevolution of oaks.",2020-10,31/05/24 4:29,31/05/24 4:30,31/05/24 4:29,1114,,10,11,,,A Disjunctive Marginal Edge of Evergreen Broad-Leaved Oak (Quercus gilva) in East Asia,,,,,,,en,http://creativecommons.org/licenses/by/3.0/,,,,www.mdpi.com,,Number: 10 Publisher: Multidisciplinary Digital Publishing Institute,,/Users/nelly/Zotero/storage/2XYK94IL/Han et al. - 2020 - A Disjunctive Marginal Edge of Evergreen Broad-Lea.pdf; ,notion://www.notion.so/Han-et-al-2020-1dc3ea368fe7469da6c4bf1b0aaec788,notion,<i>Quercus gilva</i>; conservation; genetic diversity; Jeju Island; marginal edge; massive colonization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3EIPQFTS,journalArticle,2014,"Hipp, Andrew L.; Eaton, Deren A. R.; Cavender-Bares, Jeannine; Fitzek, Elisabeth; Nipper, Rick; Manos, Paul S.",A Framework Phylogeny of the American Oak Clade Based on Sequenced RAD Data,PLOS ONE,,1932-6203,10.1371/journal.pone.0093975,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0093975,"Previous phylogenetic studies in oaks (Quercus, Fagaceae) have failed to resolve the backbone topology of the genus with strong support. Here, we utilize next-generation sequencing of restriction-site associated DNA (RAD-Seq) to resolve a framework phylogeny of a predominantly American clade of oaks whose crown age is estimated at 23–33 million years old. Using a recently developed analytical pipeline for RAD-Seq phylogenetics, we created a concatenated matrix of 1.40 E06 aligned nucleotides, constituting 27,727 sequence clusters. RAD-Seq data were readily combined across runs, with no difference in phylogenetic placement between technical replicates, which overlapped by only 43–64% in locus coverage. 17% (4,715) of the loci we analyzed could be mapped with high confidence to one or more expressed sequence tags in NCBI Genbank. A concatenated matrix of the loci that BLAST to at least one EST sequence provides approximately half as many variable or parsimony-informative characters as equal-sized datasets from the non-EST loci. The EST-associated matrix is more complete (fewer missing loci) and has slightly lower homoplasy than non-EST subsampled matrices of the same size, but there is no difference in phylogenetic support or relative attribution of base substitutions to internal versus terminal branches of the phylogeny. We introduce a partitioned RAD visualization method (implemented in the R package RADami; http://cran.r-project.org/web/packages/RADami) to investigate the possibility that suboptimal topologies supported by large numbers of loci—due, for example, to reticulate evolution or lineage sorting—are masked by the globally optimal tree. We find no evidence for strongly-supported alternative topologies in our study, suggesting that the phylogeny we recover is a robust estimate of large-scale phylogenetic patterns in the American oak clade. Our study is one of the first to demonstrate the utility of RAD-Seq data for inferring phylogeny in a 23–33 million year-old clade.",04/04/14,31/05/24 0:42,31/05/24 0:42,31/05/24 0:42,e93975,,4,9,,PLOS ONE,,,,,,,,en,,,,,PLoS Journals,,Publisher: Public Library of Science,,/Users/nelly/Zotero/storage/WBTRJYAX/Hipp et al. - 2014 - A Framework Phylogeny of the American Oak Clade Ba.pdf; ,notion://www.notion.so/Hipp-et-al-2014-651ef34604904df1b043d9db0b8553d1,notion,Amplified fragment length polymorphism; BLAST algorithm; Gene ontologies; Genetic loci; Nucleotides; Oaks; Phylogenetic analysis; Phylogenetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IESHJM3G,journalArticle,2017,"McVay, John D.; Hipp, Andrew L.; Manos, Paul S.",A genetic legacy of introgression confounds phylogeny and biogeography in oaks,Proceedings of the Royal Society B: Biological Sciences,,,10.1098/rspb.2017.0300,https://royalsocietypublishing.org/doi/10.1098/rspb.2017.0300,"Oaks (Quercus L.) have long been suspected to hybridize in nature, and widespread genetic exchange between morphologically defined species is well documented in two- to six-species systems, but the phylogenetic consequences of hybridization in oaks have never been demonstrated in a phylogenetically diverse sample. Here, we present phylogenomic analyses of a ca 30 Myr clade that strongly support morphologically defined species and the resolution of novel clades of white oaks; however, historical hybridization across clade boundaries is detectable and, undiagnosed, would obscure the imprint of biogeographic history in the phylogeny. Phylogenetic estimation from restriction-site-associated DNA sequencing data for 156 individuals representing 81 species supports two successive intercontinental disjunctions of white oaks: an early vicariance between the Eurasian and American white oaks, and a second, independent radiation represented by two relictual species. A suite of subsampled and partitioned analyses, however, supports a more recent divergence of the Eurasian white oaks from within the American white oaks and suggests that historic introgression between the Eurasian white oaks and a now-relictual lineage biases concatenated phylogenetic estimates. We demonstrate how divergence and reticulation both influence our understanding of the timing and nature of diversification and global colonization in these ecologically and economically important taxa.",17/05/17,30/05/24 2:31,30/05/24 2:31,30/05/24 2:31,20170300,,1854,284,,,,,,,,,,,,,,,royalsocietypublishing.org (Atypon),,Publisher: Royal Society,,/Users/nelly/Zotero/storage/C6ANDCI8/McVay et al. - 2017 - A genetic legacy of introgression confounds phylog.pdf; ,notion://www.notion.so/McVay-et-al-2017-f9d88a18223340c386af7584dbc0d414,notion,hybridization; Quercus; RADseq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W9IEMZCK,journalArticle,2018,"Fitzek, Elisabeth; Delcamp, Adline; Guichoux, Erwan; Hahn, Marlene; Lobdell, Matthew; Hipp, Andrew L.",A nuclear DNA barcode for eastern North American oaks and application to a study of hybridization in an Arboretum setting,Ecology and Evolution,,2045-7758,10.1002/ece3.4122,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.4122,"DNA barcoding has proved difficult in a number of woody plant genera, including the ecologically important oak genus Quercus. In this study, we utilized restrictionsite-associated DNA sequencing (RAD-seq) to develop an economical single nucleotide polymorphism (SNP) DNA barcoding system that suffices to distinguish eight common, sympatric eastern North American white oak species. Two de novo clustering pipelines, PyRAD and Stacks, were used in combination with postclustering bioinformatic tools to generate a list of 291 potential SNPs, 80 of which were included in a barcoding toolkit that is easily implemented using MassARRAY mass spectrometry technology. As a proof-of-concept, we used the genotyping toolkit to infer potential hybridization between North American white oaks transplanted outside of their native range (Q. michauxii, Q. montana, Q muehlenbergii/Q. prinoides, and Q. stellata) into a horticultural collection surrounded by natural forests of locally native trees (Q. alba and Q. macrocarpa) in the living collection at The Morton Arboretum (Lisle, IL, USA). Phylogenetic and clustering analyses suggested low rates of hybridization between cultivated and native species, with the exception of one Q. michauxii mother tree, the acorns of which exhibited high admixture from either Q. alba or Q. stellata and Q. macrocarpa, and a hybrid between Q. stellata that appears to have backcrossed almost exclusively to Q. alba. Together, RAD-seq and MassARRAY technologies allow for efficient development and implementation of a multispecies barcode for one of the more challenging forest tree genera.",2018,29/05/24 8:44,29/05/24 8:44,29/05/24 8:44,5837-5851,,11,8,,,,,,,,,,en,© 2018 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.4122,,/Users/nelly/Zotero/storage/J2KGKWNM/Fitzek et al. - 2018 - A nuclear DNA barcode for eastern North American o.pdf; ; /Users/nelly/Zotero/storage/EMW4Y8EY/ece3.html,notion://www.notion.so/Fitzek-et-al-2018-556c36b27c4445d3a49ae9991eafc8ce,notion,hybridization; RAD-seq; barcoding; North American white oaks; SNP barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPHKS3I,journalArticle,2017,Andrew L. Hipp; Richard Cronn; Kasey Khanh Pham; Paul S. Manos,A time and a place for everything: phylogenetic history and geography as joint predictors of oak plastome phylogeny,Genome,,1480-3321,,http://pbidi.unam.mx:8080/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=edsair&AN=edsair.doi.dedup.....9933aa1c0cd1b49cbcbe9d1c754f00ef&lang=es&site=eds-live,"Owing to high rates of introgressive hybridization, the plastid genome is poorly suited to fine-scale DNA barcoding and phylogenetic studies of the oak genus (Quercus, Fagaceae). At the tips of the oak plastome phylogeny, recent gene migration and reticulation generally cause topology to reflect geographic structure, while deeper branches reflect lineage divergence. In this study, we quantify the simple and partial effects of geographic proximity and nucleome-inferred phylogenetic history on oak plastome phylogeny at different evolutionary scales. Our study compares pairwise phylogenetic distances based on complete plastome sequences, pairwise phylogenetic distances from nuclear restriction site-associated DNA sequences (RADseq), and pairwise geographic distances for 34 individuals of the white oak clade representing 24 North American and Eurasian species. Within the North American white oak clade alone, phylogenetic history has essentially no effect on plastome variation, while geography explains 11%–21% of plastome phylogenetic variance. However, across multiple continents and clades, phylogeny predicts 30%–41% of plastome variation, geography 3%–41%. Tipwise attenuation of phylogenetic informativeness in the plastome means that in practical terms, plastome data has little use in solving phylogenetic questions, but can still be a useful barcoding or phylogenetic marker for resolving questions among major clades.",01/09/17,30/05/24 23:37,30/05/24 23:37,30/05/24 23:37,720-732,,,60,,,A time and a place for everything,,,,,,,,,,,,EBSCOhost,,Publisher: Canadian Science Publishing,,/Users/nelly/Zotero/storage/9MLQ8R3E/Andrew L. Hipp et al. - 2017 - A time and a place for everything phylogenetic hi.pdf; ,notion://www.notion.so/Andrew-L-Hipp-et-al-2017-5d10d1649455430e9c84d9cac2e12dcc,notion,"01 natural sciences; 0106 biological sciences; 010603 evolutionary biology; 03 medical and health sciences; 0301 basic medicine; 030104 developmental biology; biology; biology.organism_classification; Biotechnology; Botany; Chloroplast DNA; DNA barcoding; DNA, Plant; Evolution, Molecular; Fagaceae; Gene Flow; General Medicine; Genes, Plant; Genetics; Genome; Genus; Introgression; Molecular Biology; Phylogenetic tree; Phylogenetics; Phylogeny; Phylogeography; Plastids; Quercus; Sequence Analysis, DNA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIW3EJCG,journalArticle,2020,"Pingarroni, Aline; Molina-Garay, Carolina; Rosas-Osorio, Carlos; Alfonso-Corrado, Cecilia; Clark-Tapia, Ricardo; Monsalvo-Reyes, Alejandro; Campos, Jorge E.","Abundance and genetic diversity of Quercus mulleri, microendemic, thretened species from Oaxaca.",Madera y bosques,,1405-0471,10.21829/myb.2020.2611782,http://www.scielo.org.mx/scielo.php?script=sci_abstract&pid=S1405-04712020000100206&lng=es&nrm=iso&tlng=es,,2020,31/05/24 2:30,31/05/24 2:30,31/05/24 2:30,,,1,26,,,,,,,,,,en,,,,,SciELO,,,,/Users/nelly/Zotero/storage/IAR79JY6/Pingarroni et al. - 2020 - Abundance and genetic diversity of Quercus mulleri.pdf; ,notion://www.notion.so/Pingarroni-et-al-2020-0ad8567fc88d4d04a301aacc6ee8381e,notion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBGGMWAT,journalArticle,2018,"Tang, Kujin; Ren, Jie; Cronn, Richard; Erickson, David L.; Milligan, Brook G.; Parker-Forney, Meaghan; Spouge, John L.; Sun, Fengzhu",Alignment-free genome comparison enables accurate geographic sourcing of white oak DNA,BMC Genomics,,1471-2164,10.1186/s12864-018-5253-1,https://doi.org/10.1186/s12864-018-5253-1,"The application of genomic data and bioinformatics for the identification of restricted or illegally-sourced natural products is urgently needed. The taxonomic identity and geographic provenance of raw and processed materials have implications in sustainable-use commercial practices, and relevance to the enforcement of laws that regulate or restrict illegally harvested materials, such as timber. Improvements in genomics make it possible to capture and sequence partial-to-complete genomes from challenging tissues, such as wood and wood products.",10/12/18,31/05/24 0:10,31/05/24 0:10,31/05/24 0:10,896,,1,19,,BMC Genomics,,,,,,,,,,,,,BioMed Central,,,,/Users/nelly/Zotero/storage/968GG85P/Tang et al. - 2018 - Alignment-free genome comparison enables accurate .pdf; ; /Users/nelly/Zotero/storage/SWJTLZ9W/s12864-018-5253-1.html,notion://www.notion.so/Tang-et-al-2018-a0cf3490c34a476db23f4441e984c08d,notion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KE7QYHJ3,webpage,,,An improved reference genome and first organelle genomes of Quercus suber | Tree Genetics & Genomes,,,,,https://link.springer.com/article/10.1007/s11295-023-01624-8,,,29/05/24 10:04,29/05/24 10:04,29/05/24 10:04,,,,,,,,,,,,,,,,,,,,,,,/Users/nelly/Zotero/storage/IDVD86T2/s11295-023-01624-8.html; ,notion://www.notion.so/An-improved-reference-genome-and-first-organelle-genomes-of-Quercus-suber-Tree-Genetics-Genomes--ede61197bc4949acaed44fbe3c4f480f,notion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVRB9PUX,journalArticle,2009,"Lumaret, Roselyne; Jabbour-Zahab, Roula","Ancient and current gene flow between two distantly related Mediterranean oak species, Quercus suber and Q. ilex",Annals of Botany,,0305-7364,10.1093/aob/mcp149,https://doi.org/10.1093/aob/mcp149,"Quercus suber and Q. ilex are distantly related and their distributions partially overlap. They hybridize occasionally, but the complete replacement of Q. suber chloroplast DNA (cpDNA) by that of Q. ilex was identified in two specific geographical areas. The objective of this study was to determine whether the contrasting situation reflected current or recent geographical interspecies gene flow variation or was the result of ancient introgression.cpDNA PCR-RFLPs (restriction fragment length polymorphisms) and variation at ten nuclear microsatellite loci were analysed in populations of each species, in 16 morphologically intermediate individuals and the progeny of several of them. Interspecies nuclear introgression was based on individual admixture rates using a Bayesian approach with no a priori species assignment, and on a maximum-likelihood (ML) method, using allele frequencies in the allopatric populations of each species as controls. Gene flow was compared specifically between populations located within and outside the specific areas.High interspecies nuclear genetic differentiation was observed, with twice the number of alleles in Q. ilex than in Q. suber. According to Bayesian assignment, approx. 1 % of individuals had a high probability of being F1 hybrids, and bidirectional nuclear introgression affected approx. 4 % of individuals in each species. Hybrid and introgressed individuals were identified predominantly in mixed stands and may have a recent origin. Higher proportions including allospecific genes recovered from past hybridization were obtained using the ML method. Similar rates of hybridization and of nuclear introgression, partially independent of cpDNA interspecies transfer suggestive of gene filtering, were obtained in the populations located within and outside the areas of complete cpDNA replacement.The results did not provide evidence for geographical variation in interspecies gene flow. In contrast, historical introgression is supported by palynological records and constitutes the more reliable origin of cpDNA replacement in specific regions.",01/09/09,30/05/24 1:44,30/05/24 1:44,30/05/24 1:44,725-736,,4,104,,Annals of Botany,,,,,,,,,,,,,Silverchair,,,,/Users/nelly/Zotero/storage/D6HWQFG4/Lumaret y Jabbour-Zahab - 2009 - Ancient and current gene flow between two distantl.pdf; ; /Users/nelly/Zotero/storage/JPHL78WM/153088.html,notion://www.notion.so/Lumaret-Jabbour-Zahab-2009-e94a9d14a95a47f291535f618242d5de,notion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWL8FHL3,journalArticle,2019,"Yan, Mengxiao; Liu, Ruibin; Li, Ying; Hipp, Andrew L.; Deng, Min; Xiong, Yanshi",Ancient events and climate adaptive capacity shaped distinct chloroplast genetic structure in the oak lineages,BMC Evolutionary Biology,,1471-2148,10.1186/s12862-019-1523-z,https://doi.org/10.1186/s12862-019-1523-z,"Understanding the origin of genetic variation is the key to predict how species will respond to future climate change. The genus Quercus is a species-rich and ecologically diverse woody genus that dominates a wide range of forests and woodland communities of the Northern Hemisphere. Quercus thus offers a unique opportunity to investigate how adaptation to environmental changes has shaped the spatial genetic structure of closely related lineages. Furthermore, Quercus provides a deep insight into how tree species will respond to future climate change. This study investigated whether closely related Quercus lineages have similar spatial genetic structures and moreover, what roles have their geographic distribution, ecological tolerance, and historical environmental changes played in the similar or distinct genetic structures.",04/11/19,31/05/24 0:01,31/05/24 0:01,31/05/24 0:01,202,,1,19,,BMC Evolutionary Biology,,,,,,,,,,,,,BioMed Central,,,,/Users/nelly/Zotero/storage/KM6JZPLC/Yan et al. - 2019 - Ancient events and climate adaptive capacity shape.pdf; ; /Users/nelly/Zotero/storage/PF4NLKAV/s12862-019-1523-z.html,notion://www.notion.so/Yan-et-al-2019-0d0b92f934794627aeb8983d662684d4,notion,Chloroplast genome; Climate; Geography; Local adaptation; Quercus; Spatial genetic structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
